Style,Category
American Amber/Red Lager,Pale Lagers and Pilsners
Amercian Adjunct Lager,Pale Lagers and Pilsners
American India Pale Lager,Pale Lagers and Pilsners
American Pale Lager,Pale Lagers and Pilsners
German Pilsener,Pale Lagers and Pilsners
Czech Pilsner,Pale Lagers and Pilsners
American Double/Imperial Pilsner,Pale Lagers and Pilsners
American Pilsner,Pale Lagers and Pilsners
Munich Helles Lager,Pale Lagers and Pilsners
Czech Pilsner,Pale Lagers and Pilsners
American Amber/Red Lager,Dark Lagers
Vienna Lager,Dark Lagers
Schwarzbier,Dark Lagers
MÃ¤rzen / Oktoberfest,Dark Lagers
Schwarzbier,Dark Lagers
Euro Dark Lager,Dark Lagers
Euro Pale Lager,Dark Lagers
American Pale Lager,Dark Lagers
Dortmunder/Export Lager,Dark Lagers
Munich Dunkel Lager,Dark Lagers
Schwarzbier,Dark Lagers
Bock,German Bocks
Doppelbock,German Bocks
Maibock/Helles Bock,German Bocks
English Dark Mild Ale,Brown Ales
American Brown Ale,Brown Ales
English Brown Ale,Brown Ales
American Black Ale,Brown Ales
American Dark Wheat Ale,Brown Ales
English Brown Ale,Brown Ales
English Dark Mild Ale,Brown Ales
English Strong Ale,Brown Ales
Scottish Ale,Brown Ales
American Amber/Red Ale,Pale Ales
Abbey Single Ale,Pale Ales
American Pale Ale,Pale Ales
American Blonde Ale,Pale Ales
American Strong Ale,Pale Ales
American Wild Ale,Pale Ales
English Bitter,Pale Ales
Cream Ale,Pale Ales
English Pale Ale,Pale Ales
English Pale Mild Ale,Pale Ales
Irish Red Ale,Pale Ales
Wheat Ale,Pale Ales
Old Ale,Pale Ales
Pumpkin Ale,Pale Ales
American IPA,IPAs
American Double/Imperial IPA,IPAs
English India Pale Ale,IPAs
American Porter,Porters
Baltic Porter,Porters
American Stout,Stouts
English Stout,Stouts
American Double/Imperial Stout,Stouts
Foreign/Export Stout,Stouts
Irish Dry Stout,Stouts
Milk/Sweet Stout,Stouts
Oatmeal Stout,Stouts
Beligian Pale Ale,Belgians
Beligian Strong Pale Ale,Belgians
Dubbel,Belgians
Tripel,Belgians
Quadrupel (Quad),Belgians
Beligian Strong Dark Ale,Belgians
Saison/Farmhouse,Belgians
Amerian Pale Wheat Ale,Wheats
Witbier,Wheats
Dunkelweizen,Wheats
Hefeweizen,Wheats
Rye Beer,Wheats
Fruit/Vegetable Beer,Wild_Sour_Ale
Flanders Oud Bruin,Wild_Sour_Ale
American Pale Ale (APA),Other
American Double / Imperial IPA,Other
Saison / Farmhouse Ale,Other
Belgian IPA,Other
Cider,Other
American Barleywine,Other
Winter Warmer,Other
Fruit / Vegetable Beer,Other
Belgian Dark Ale,Other
American Amber / Red Ale,Other
Berliner Weissbier,Other
American Pale Wheat Ale,Other
Belgian Strong Dark Ale,Other
Kölsch,Other
American Amber / Red Lager,Other
English Barleywine,Other
Milk / Sweet Stout,Other
Belgian Pale Ale,Other
Altbier,Other
California Common / Steam Beer,Other
Gose,Other
American Double / Imperial Stout,Other
Märzen / Oktoberfest,Other
Extra Special / Strong Bitter (ESB),Other
Foreign / Export Stout,Other
Other,Other
English India Pale Ale (IPA),Other
Czech Pilsener,Other
Mead,Other
American White IPA,Other
Dortmunder / Export Lager,Other
Scotch Ale / Wee Heavy,Other
Radler,Other
Rauchbier,Other
Bière de Garde,Other
Belgian Strong Pale Ale,Other
Russian Imperial Stout,Other
Maibock / Helles Bock,Other
Herbed / Spiced Beer,Other
American Adjunct Lager,Other
Smoked Beer,Other
Light Lager,Other
Roggenbier,Other
Kristalweizen,Other
American Double / Imperial Pilsner,Other
Flanders Red Ale,Other
Keller Bier / Zwickel Bier,Other
Shandy,Other
American Malt Liquor,Other
Chile Beer,Other
Grisette,Other
Braggot,Other
Low Alcohol Beer,Other
