State,Region
 AK,North West
 AL,South East
 AR,South East
 AZ,South West
 CA,West
 CO,South West
 CT,North East
 DC,Mid Atlantic
 DE,Mid Atlantic
 FL,South East
 GA,South East
 HI,West
 IA,Mid West
 ID,North West
 IL,Mid West
 IN,Mid West
 KS,Mid West
 KY,Mid West
 LA,South East
 MA,North East
 MD,Mid Atlantic
 ME,North East
 MI,Mid West
 MN,Mid West
 MO,Mid West
 MS,South East
 MT,North West
 NC,South East
 ND,Mid West
 NE,Mid West
 NH,North East
 NJ,Mid Atlantic
 NM,South West
 NV,South West
 NY,Mid Atlantic
 OH,Mid West
 OK,South West
 OR,North West
 PA,Mid Atlantic
 RI,North East
 SC,South East
 SD,Mid West
 TN,South East
 TX,South West
 UT,South West
 VA,Mid Atlantic
 VT,North East
 WA,North West
 WI,Mid West
 WV,Mid Atlantic
 WY,North West
